Symbol,Name,AUM,Avg Daily Share Volume (3mo)
SPY,SPDR S&P 500 ETF Trust,"$598,191,000.00 ","56,345,273"
VOO,Vanguard S&P 500 ETF,"$588,115,000.00 ","6,918,330"
IVV,iShares Core S&P 500 ETF,"$558,414,000.00 ","7,321,913"
VTI,Vanguard Total Stock Market ETF,"$438,345,000.00 ","3,590,798"
QQQ,Invesco QQQ Trust Series I,"$299,701,000.00 ","36,454,523"
VEA,Vanguard FTSE Developed Markets ETF,"$143,914,000.00 ","13,216,193"
VUG,Vanguard Growth ETF,"$142,439,000.00 ","1,421,510"
VTV,Vanguard Value ETF,"$131,552,000.00 ","2,601,045"
IEFA,iShares Core MSCI EAFE ETF,"$127,495,000.00 ","10,611,582"
BND,Vanguard Total Bond Market ETF,"$127,122,000.00 ","6,970,020"
AGG,iShares Core U.S. Aggregate Bond ETF,"$124,978,000.00 ","8,495,339"
IWF,iShares Russell 1000 Growth ETF,"$95,190,300.00 ","1,645,125"
IJH,iShares Core S&P Mid-Cap ETF,"$88,783,100.00 ","9,587,463"
VIG,Vanguard Dividend Appreciation ETF,"$85,643,000.00 ","1,274,358"
GLD,SPDR Gold Shares,"$84,240,500.00 ","7,680,467"
IEMG,iShares Core MSCI Emerging Markets ETF,"$82,614,000.00 ","9,933,665"
VXUS,Vanguard Total International Stock ETF,"$81,973,900.00 ","4,254,685"
VWO,Vanguard FTSE Emerging Markets ETF,"$81,784,800.00 ","8,946,906"
IJR,iShares Core S&P Small-Cap ETF,"$78,744,900.00 ","4,359,922"
VGT,Vanguard Information Technology ETF,"$76,473,600.00 ","646,887"
RSP,Invesco S&P 500® Equal Weight ETF,"$71,832,000.00 ","8,321,005"
VO,Vanguard Mid-Cap ETF,"$71,744,700.00 ","705,222"
SCHD,Schwab US Dividend Equity ETF,"$69,111,500.00 ","16,214,385"
XLK,Technology Select Sector SPDR Fund,"$64,787,800.00 ","4,954,740"
IWM,iShares Russell 2000 ETF,"$63,762,900.00 ","28,815,586"
BNDX,Vanguard Total International Bond ETF,"$62,342,800.00 ","3,689,855"
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$61,077,400.00 ","1,539,773"
IWD,iShares Russell 1000 Value ETF,"$59,718,100.00 ","2,578,878"
VB,Vanguard Small Cap ETF,"$59,108,200.00 ","856,525"
VYM,Vanguard High Dividend Yield Index ETF,"$58,805,700.00 ","1,489,913"
EFA,iShares MSCI EAFE ETF,"$57,697,900.00 ","13,317,639"
SPLG,SPDR Portfolio S&P 500 ETF,"$55,023,600.00 ","8,257,958"
IVW,iShares S&P 500 Growth ETF,"$50,765,800.00 ","1,998,482"
TLT,iShares 20+ Year Treasury Bond ETF,"$50,725,700.00 ","37,318,777"
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"$50,268,800.00 ","6,969,907"
XLF,Financial Select Sector SPDR Fund,"$49,619,900.00 ","47,433,281"
SCHX,Schwab U.S. Large-Cap ETF,"$49,471,500.00 ","10,196,951"
QUAL,iShares MSCI USA Quality Factor ETF,"$48,698,600.00 ","1,488,682"
IBIT,iShares Bitcoin Trust ETF,"$47,284,900.00 ","48,025,906"
SCHF,Schwab International Equity ETF,"$43,062,600.00 ","11,153,280"
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,"$41,054,100.00 ","9,164,095"
VT,Vanguard Total World Stock ETF,"$40,845,100.00 ","2,303,210"
MUB,iShares National Muni Bond ETF,"$40,127,600.00 ","4,446,203"
VEU,Vanguard FTSE All-World ex-US Index Fund,"$39,923,700.00 ","3,060,645"
IXUS,iShares Core MSCI Total International Stock ETF,"$39,914,600.00 ","2,197,485"
IAU,iShares Gold Trust,"$39,320,600.00 ","6,319,742"
